"des_plan","anio_apertura_expediente","abandona","convocatoria_acceso","des_acceso","sexo","municipio","anio_nacimiento_interval","1st_model","scholarship","cum_absent_ratio","cum_pass_ratio","nota_admision_def","GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","GRADO EN EDIFICACIÓN","GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2009-10","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","2008-09","JUN","SEP","EXT","ENE","Selectividad","Formación Profesional","H","D","(1990.0, 1995.0]","(1985.0, 1990.0]","(1980.0, 1985.0]","(1995.0, 2000.0]","(1975.0, 1980.0]","N","S"
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","D","BERZOCANA","(1990.0, 1995.0]",0,"S",0.2222222222222222,0.1111111111111111,6.124,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","D","HERRERA DEL DUQUE","(1990.0, 1995.0]",0,"N",0.25,0.375,7.118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.6,0.1,5.35,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.5,0.3333333333333333,5.35,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.125,0.375,5.47,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.1111111111111111,0.2222222222222222,6.392,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","D","CÁCERES","(1990.0, 1995.0]",1,"N",0.1111111111111111,0.3333333333333333,5.832,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","BADAJOZ","(1985.0, 1990.0]",0,"N",1,0,6.69,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","1","JUN","Selectividad","H","ESTELLA-LIZARRA","(1985.0, 1990.0]",1,"N",1,0,5.55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.9,0,5.736,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.1111111111111111,0.3333333333333333,6.765,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.125,0.375,6.826,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.25,0.25,7.482,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","D","ARROYO DE SAN SERVÁN","(1990.0, 1995.0]",1,"S",0,0.375,8.146,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","VILLANUEVA DE LA SERENA","(1990.0, 1995.0]",1,"S",0.2857142857142857,0.5714285714285714,7.285,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CASAR DE CÁCERES","(1990.0, 1995.0]",0,"N",0.2857142857142857,0.5714285714285714,7.71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","FREGENAL DE LA SIERRA","(1990.0, 1995.0]",1,"S",0.3333333333333333,0.6666666666666666,7.304,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁDIZ","(1990.0, 1995.0]",1,"N",0.375,0.5,6.761,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.1428571428571428,0.5714285714285714,7.31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","ANDOAIN","(1990.0, 1995.0]",1,"S",0.25,0.375,8.186,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"S",0.4,0,7.422,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.25,0.5,7.11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","D","CORIA","(1990.0, 1995.0]",1,"N",0.2222222222222222,0.2222222222222222,6.206,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","D","MORALEJA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.2222222222222222,7.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","LOGROSÁN","(1990.0, 1995.0]",1,"S",0.1428571428571428,0.4285714285714285,6.644,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.375,0.375,5.578,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","LEÓN","(1985.0, 1990.0]",1,"N",0.1428571428571428,0.7142857142857143,5.93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"S",0.25,0.25,6.422,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","CILLEROS","(1990.0, 1995.0]",1,"S",0.5555555555555556,0.1111111111111111,5.54,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","D","SIERRA DE FUENTES","(1990.0, 1995.0]",1,"S",0,0.4285714285714285,5.55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Formación Profesional","H","CÁCERES","(1985.0, 1990.0]",1,"S",0.375,0.5,7.14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","TORREMOCHA","(1990.0, 1995.0]",1,"S",0.2222222222222222,0.1111111111111111,5.424,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","CORIA","(1990.0, 1995.0]",1,"S",0.7,0,5.65,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
